mes,Dato_usuarios,Acum_usuarios,Dato_descargas_app,Acum_descargas_app,Dato_búsquedas,Acum_búsquedas,Dato_recurrencia,Acum_recurrencia,Dato_proyectos,Acum_proyectos,Dato_usuarios_por_proyecto,Acum_usuarios_por_proyecto,Dato_información,Acum_información,Dato_red,Acum_red,Dato_recursos,Acum_recursos,Dato_relaciones,Acum_relaciones,Dato_perfiles_referentes,Acum_perfiles_referentes,Dato_organizaciones,Acum_organizaciones,Dato_personas,Acum_personas,Dato_búsqueda_de_empleo,Acum_búsqueda_de_empleo,Dato_retos,Acum_retos,Dato_actualidad,Acum_actualidad,Dato_ayudas_y_subvenciones,Acum_ayudas_y_subvenciones,Dato_eventos,Acum_eventos,Dato_formación_y_prácticas,Acum_formación_y_prácticas,Dato_orientación_laboral,Acum_orientación_laboral,Dato_ofertas_de_empleo,Acum_ofertas_de_empleo,Dato_conversaciones,Acum_conversaciones,Dato_grupos,Acum_grupos,Dato_conversaciones_privadas,Acum_conversaciones_privadas,Dato_mensajes,Acum_mensajes,Dato_contenido_compartido_en_conversaciones,Acum_contenido_compartido_en_conversaciones,Dato_conversaciones_de_participación,Acum_conversaciones_de_participación,Dato_usuarios_por_conversación,Acum_usuarios_por_conversación,Dato_calidad_media_del_mensaje,Acum_calidad_media_del_mensaje,Dato_canales,Acum_canales,Dato_suscritos_a_canales,Acum_suscritos_a_canales,Dato_contenido_compartido_en_canales,Acum_contenido_compartido_en_canales,Dato_asistentes_a_eventos,Acum_asistentes_a_eventos,Dato_campañas,Acum_campañas,Dato_acciones,Acum_acciones,Dato_visitas,Acum_visitas,Dato_visitas_a_proyectos,Acum_visitas_a_proyectos,Dato_visitas_a_red,Acum_visitas_a_red,Dato_oportunidades,Acum_oportunidades,Dato_actividades,Acum_actividades,Dato_usuarios_por_actividad,Acum_usuarios_por_actividad
Marzo 2024,258,806,21,55,431,4447,0.5174,0.5174,1,20,17.9,17.9,290,1189,238,791,52,398,56,536,2,20,12,78,225,701,1,12,0,0,36,240,7,51,5,44,3,47,1,12,0,4,308,1185,5,34,303,1151,3663,9023,27,98,0,0,4.4,4.4,0.8153,0.8153,0,9,45,168,48,662,0,1,0,0,0,0,14642,320634,713,42580,3092,41516,0,0,0,0,0,0
Abril 2024,153,959,7,62,406,4853,0.318,0.318,2,22,18.86,18.86,193,1382,133,924,60,458,44,580,-3,17,12,90,121,822,0,12,0,0,43,283,5,56,8,52,4,51,0,12,0,4,182,1367,4,38,178,1329,6815,15838,23,121,0,0,6.71,6.71,0.8904000000000001,0.8904000000000001,0,9,22,190,53,715,0,1,0,0,0,0,12597,333231,496,43076,2598,44114,0,0,0,0,0,0
Mayo 2024,103,1062,6,68,926,5779,0.22690000000000002,0.22690000000000002,3,25,18.56,18.56,179,1561,126,1050,53,511,31,611,0,17,8,98,92,914,26,38,0,0,36,319,6,62,8,60,0,51,3,15,0,4,835,2202,0,38,835,2164,5619,21457,8,129,0,0,4.93,4.93,0.893,0.893,0,9,17,207,96,811,0,1,0,0,0,0,34459,367690,363,43439,10649,54763,0,0,0,0,0,0
Junio 2024,250,1312,24,92,1099,6878,0.2706,0.2706,0,25,21.28,21.28,272,1833,241,1291,31,542,29,640,4,21,9,107,207,1121,25,63,0,0,27,346,2,64,2,62,0,51,0,15,0,4,2903,5105,1,39,2902,5066,119739,141196,30,159,0,0,3.27,3.27,0.9773999999999999,0.9773999999999999,0,9,67,274,46,857,0,1,0,0,0,0,44465,412155,852,44291,14726,69489,0,0,0,0,0,0
Julio 2024,127,1439,7,99,387,7265,0.2328,0.2328,4,29,22.07,22.07,166,1999,131,1422,35,577,34,674,0,21,7,114,103,1224,21,84,0,0,27,373,6,70,1,63,0,51,1,16,0,4,194,5299,2,41,192,5258,6419,147615,29,188,0,0,3.68,3.68,0.9782,0.9782,0,9,18,292,50,907,0,1,0,0,0,0,12933,425088,471,44762,3534,73023,0,0,0,0,0,0
Agosto 2024,40,1479,4,103,110,7375,0.0906,0.0906,0,29,22.69,22.69,56,2055,38,1460,18,595,7,681,-4,17,1,115,33,1257,4,88,0,0,17,390,1,71,0,63,0,51,0,16,0,4,58,5357,0,41,58,5316,92,147707,6,194,0,0,3.66,3.66,0.9782,0.9782,0,9,17,309,31,938,0,1,0,0,0,0,4504,429592,218,44980,1332,74355,0,0,0,0,0,0
Septiembre 2024,106,1585,3,106,320,7695,0.16399999999999998,0.16399999999999998,0,29,24.24,24.24,124,2179,96,1556,28,623,31,712,0,17,4,119,86,1343,6,94,0,0,21,411,-1,70,4,67,2,53,2,18,0,4,194,5551,3,44,191,5507,6020,153727,18,212,1,1,3.61,3.61,0.9784999999999999,0.9784999999999999,0,9,1,310,22,960,9,10,0,0,0,0,10689,440281,367,45347,2519,76874,0,0,0,0,0,0
Octubre 2024,97,1682,7,113,503,8198,0.15810000000000002,0.15810000000000002,1,30,24.53,24.53,117,2296,73,1629,44,667,15,727,0,17,1,120,70,1413,2,96,0,0,28,439,1,71,7,74,8,61,0,18,0,4,184,5735,1,45,183,5690,7396,161123,21,233,0,1,3.56,3.56,0.9791,0.9791,0,9,13,323,77,1037,11,21,0,0,0,0,13083,453364,703,46050,3391,80265,0,0,0,0,0,0
Noviembre 2024,66,1748,7,120,296,8494,0.1035,0.1035,0,30,25.27,25.27,76,2372,54,1683,22,689,8,735,0,17,1,121,51,1464,2,98,0,0,18,457,0,71,3,77,0,61,1,19,0,4,117,5852,0,45,117,5807,2550,163673,15,248,0,1,3.53,3.53,0.9793000000000001,0.9793000000000001,0,9,25,348,50,1087,3,24,0,0,0,0,8783,462147,206,46256,2203,82468,0,0,0,0,0,0
Diciembre 2024,44,1792,3,123,287,8781,0.06860000000000001,0.06860000000000001,0,30,25.97,25.97,65,2437,42,1725,23,712,18,753,0,17,1,122,41,1505,0,98,0,0,18,475,0,71,2,79,2,63,1,20,0,4,113,5965,0,45,113,5920,2581,166254,4,252,0,1,3.5,3.5,0.9795,0.9795,0,9,4,352,35,1122,0,24,0,0,0,0,7234,469381,254,46510,1994,84462,0,0,0,0,0,0
Enero 2025,57,1849,5,128,191,8972,0.1433,0.1433,1,31,26.87,26.87,89,2526,56,1781,33,745,24,777,4,21,3,125,52,1557,1,99,0,0,17,492,4,75,10,89,2,65,0,20,0,4,211,6176,4,49,207,6127,13773,180027,7,259,1,2,3.72,3.72,0.9806,0.9806,0,9,30,382,69,1191,0,24,0,0,0,0,10332,479713,497,47007,2650,87112,0,0,0,0,0,0
Febrero 2025,102,1951,1,129,411,9383,0.1246,0.1246,1,32,27.44,27.44,130,2656,95,1876,35,780,33,810,0,21,0,125,90,1647,5,104,0,0,23,515,3,78,9,98,0,65,0,20,0,4,200,6376,22,71,178,6305,9961,189988,11,270,0,2,5.03,5.03,0.9811,0.9811,0,9,3,385,80,1271,23,47,0,0,0,0,11212,490925,157,47164,2980,90092,0,0,0,0,0,0
Marzo 2025,262,2213,10,139,632,10015,0.3285,0.3285,1,33,31.12,31.12,292,2948,261,2137,31,811,41,851,0,21,25,150,232,1879,4,108,0,0,24,539,1,79,6,104,0,65,0,20,0,4,460,6836,3,74,457,6762,12086,202074,47,317,0,2,5.63,5.63,0.9817,0.9817,0,9,28,413,131,1402,37,84,0,0,0,0,18512,509437,457,47621,4843,94935,0,0,0,0,0,0
Abril 2025,47,2260,4,143,307,10322,0.18760000000000002,0.18760000000000002,1,34,31.47,31.47,88,3036,60,2197,28,839,-97,754,0,21,2,152,51,1930,7,115,0,0,23,562,2,81,2,106,2,67,-1,19,0,4,123,6959,4,78,119,6881,14266,216340,7,324,1,3,5.85,5.85,0.9826,0.9826,0,9,0,413,70,1472,7,91,0,0,0,0,9865,519302,332,47953,2399,97334,0,0,0,0,0,0
Mayo 2025,64,2324,4,147,322,10644,0.1975,0.1975,0,34,32.5,32.5,106,3142,71,2268,35,874,19,773,0,21,4,156,62,1992,5,120,0,0,27,589,1,82,5,111,2,69,0,19,0,4,202,7161,4,82,198,7079,12525,228865,11,335,0,3,6.29,6.29,0.9832,0.9832,0,9,26,439,73,1545,9,100,0,0,0,0,11249,530551,262,48215,2993,100327,0,0,0,0,0,0
Junio 2025,102,2426,9,156,209,10853,0.17850000000000002,0.17850000000000002,-1,33,33.58,33.58,130,3272,89,2357,41,915,13,786,0,21,3,159,81,2073,5,125,0,0,29,618,1,83,4,115,6,75,1,20,0,4,177,7338,2,84,175,7254,9181,238046,13,348,0,3,6.78,6.78,0.9836,0.9836,0,9,7,446,68,1613,10,110,0,0,0,0,9305,539856,189,48404,2524,102851,0,0,0,0,0,0
Julio 2025,82,2508,11,167,272,11125,0.19899999999999998,0.19899999999999998,0,33,35.61,35.61,159,3431,83,2440,76,991,16,802,3,24,3,162,73,2146,7,132,0,0,56,674,9,92,5,120,6,81,0,20,0,4,160,7498,3,87,157,7411,9152,247198,16,364,0,3,7.28,7.28,0.9839,0.9839,0,9,25,471,279,1892,6,116,0,0,0,0,12080,551936,338,48742,3149,106000,0,0,0,0,0,0
Agosto 2025,8,2516,4,171,41,11166,0.17370000000000002,0.17370000000000002,0,33,35.82,35.82,14,3445,6,2446,8,999,2,804,1,25,0,162,5,2151,1,133,0,0,4,678,2,94,1,121,1,82,0,20,0,4,37,7535,1,88,36,7447,4482,251680,-1,363,0,3,7.56,7.56,0.9841,0.9841,0,9,6,477,9,1901,5,121,0,0,0,0,2151,554087,43,48785,404,106404,0,0,0,0,0,0
Septiembre 2025,55,2571,2,173,357,11523,0.20149999999999998,0.20149999999999998,1,34,36.0,36.0,91,3536,57,2503,34,1033,9,813,1,26,3,165,50,2201,4,137,0,0,17,695,5,99,10,131,2,84,0,20,0,4,127,7662,3,91,124,7571,7297,258977,17,380,0,3,7.66,7.66,0.9843999999999999,0.9843999999999999,0,9,1,478,55,1956,5,126,0,0,0,0,8080,562167,203,48988,2276,108680,0,0,0,0,0,0
